feature1,feature2
928.0,9117.850068637428
221.0,715.9088662538045
458.0,3797.4913418761175
712.0,6981.213569446941
713.0,5690.213677716374
281.0,816.3036157352876
711.0,7712.239841300435
198.0,1872.4837890877548
654.0,6264.264217573722
917.0,9795.208572711928
749.0,8042.851915371142
180.0,1398.0323932661545
553.0,6060.354456505981
313.0,1910.3960358582144
468.0,4170.854708353639
352.0,2794.4482030877416
569.0,5656.062629985835
2.0,-699.5930191400407
393.0,4109.919764872775
410.0,3516.2156531670894
364.0,2709.6535430675312
142.0,662.1003439531812
575.0,5479.327275690153
366.0,3034.1586473217358
490.0,4428.529735322071
842.0,8088.562776669718
420.0,3567.331541304577
270.0,2284.523270538947
645.0,7048.1532731995885
889.0,9603.129640451984
194.0,1406.4841731854342
693.0,7329.9734501635085
734.0,7255.008074063
417.0,5036.642367486202
683.0,5924.222641896626
411.0,4212.488460376044
881.0,7610.488452569333
785.0,7027.5935276540395
614.0,5882.765690066185
536.0,4431.658904722408
381.0,4098.990657193648
622.0,5432.510660298176
243.0,2888.2261682795483
59.0,266.8098179337878
177.0,1836.78623297817
606.0,5130.129166027662
678.0,5820.222625146343
921.0,9735.226556191266
969.0,9701.97766829648
964.0,9278.006907952187
835.0,7427.550312052918
971.0,8711.910593728058
75.0,1249.961660904738
133.0,1450.5035473841197
756.0,7210.1095735665285
607.0,5902.627302029853
825.0,8333.551115603463
590.0,5738.131595872857
930.0,9038.493911176633
715.0,6318.189321366737
143.0,1483.4194883548623
885.0,9549.610452557556
329.0,3493.57636124872
70.0,-30.06657513044047
439.0,3870.966640623111
502.0,4635.154146295477
544.0,4852.737016763
373.0,1755.8263416574036
653.0,5181.81784239691
360.0,3294.721417051989
638.0,5676.759589276878
806.0,7931.798682606346
751.0,7333.48513158735
73.0,-992.8354914070746
136.0,1192.8483184508073
422.0,4102.022053792703
470.0,4335.492944099687
213.0,2153.094656182093
929.0,8695.536034111992
283.0,1308.7214325357327
520.0,4669.807926374727
612.0,5824.45576177726
412.0,3903.7652577623658
551.0,3839.8682809741294
126.0,550.1949227532878
880.0,8682.186365374848
111.0,1834.8062197566092
414.0,3838.0029810725237
563.0,4169.984019064287
493.0,4425.297284658907
244.0,2422.070121106762
999.0,10446.519743646584
762.0,7138.4621234044325
176.0,1512.0468408147324
918.0,8637.067391746243
963.0,10414.043710925645
81.0,1074.124873340507
514.0,4525.488062724099
753.0,8189.718732282055
179.0,164.95524727729938
284.0,2837.879933741461
939.0,10329.455847678304
305.0,3006.782970903045
365.0,3139.232540363691
291.0,3790.765075941955
175.0,813.5090842124579
374.0,3223.5643263527227
984.0,9820.098963687935
735.0,7517.383240536215
908.0,8285.882428985778
82.0,60.665560112216035
549.0,6170.397911409284
363.0,4325.886095686994
12.0,-823.6963300535822
814.0,7636.3663105510595
942.0,9088.48285532324
382.0,3206.3190000008085
547.0,4701.005782190532
862.0,8193.011011265544
431.0,3531.7837037303802
113.0,-559.0334957277589
582.0,5260.2149097918655
457.0,4296.47722791289
516.0,4845.922232105131
723.0,7495.861941500626
301.0,3739.05680636669
406.0,3640.708266083168
107.0,511.87965219117433
579.0,6325.79321953297
564.0,4965.693226541617
47.0,-952.468644103602
185.0,1253.9834496335534
